write bytes, read bytes, time,Write count,read count,Buffer size
0,2097150,9.6081e-05sec,0,2048,1024
0,2097150,9.6078e-05sec,0,2048,1024
0,2097150,9.615e-05sec,0,2048,1024
0,2097150,0.000238043sec,0,2048,1024
0,2097150,9.3277e-05sec,0,2048,1024
0,2097150,9.6094e-05sec,0,2048,1024
0,2097150,9.3356e-05sec,0,2048,1024
0,2097150,0.000102346sec,0,2048,1024
0,2097150,9.6066e-05sec,0,2048,1024
0,2097150,9.3239e-05sec,0,2048,1024
